Sprachname,Sprachkürzel,Kürzel eingebunden
Bairisch,{{bar}},Bairisch
Balinesisch,{{ban}},Balinesisch
Bambara,{{bm}},Bambara
Baschkirisch,{{ba}},Baschkirisch
Baskisch,{{eu}},Baskisch
Batak Toba,{{bbc}},Batak Toba
Baule (Baoulé),{{bci}},Baule
Beach-la-Mar/Bislama,{{bi}},Bislama
Belutschi,{{bal}},Belutschi
Bemba,{{bem}},Bemba
Bengali,{{bn}},Bengalisch
Bengalisch,{{bn}},Bengalisch
Berbersprachen,{{ber}},Berbersprache
Bhutanisch,{{dz}},Dzongkha
Biak,{{bhw}},Biak
Biharisch,{{bh}},Bihari
Bikol Central,{{bcl}},Zentral-Bikolano
Birmanisch/Burmesisch,{{my}},Birmanisch
Bislama (Bichelamar),{{bi}},Bislama
Bishnupriya (Manipuri),{{bpy}},Bishnupriya
Boarisch,{{bar}},Bairisch
Bobot,{{bty}},Bobot
Bosniakisch,{{bs}},Bosnisch
Bosnisch,{{bs}},Bosnisch
Brasilianisch,{{pt}} (Brasilien),Portugiesisch
Bretonisch,{{br}},Bretonisch
Buginesisch,{{bug}},Buginesisch
Bulgarisch,{{bg}},Bulgarisch
Burjatisch,{{bua}},Burjatisch
,,
Calo,{{rmr}},Caló
Caló,{{rmr}},Caló
Cebuano,{{ceb}},Cebuano
Chakassisch,{{kjh}},Chakassisch
Chamorro,{{ch}},Chamorro
Chantisch,{{kca}},Chantisch
Chantyisch,{{kca}},Chantisch
Cherokee,{{chr}},Cherokee
Cheyenne,{{chy}},Cheyenne
Chichewa,{{ny}},Chichewa
Chinesisch,{{zh}},Chinesisch
Chinesisch (traditionell),{{zh-tw}},Chinesisch (traditionell)
Chinesisch (vereinfacht),{{zh-cn}},Chinesisch (vereinfacht)
Chinesisch (Hakka),{{hak}},Hakka
Chinesisch (Kantonesisch),{{yue}},Kantonesisch
Chinesisch (Min-Nan),{{nan}},Min Nan
ChiShona,{{sn}},Shona
Choctaw,{{cho}},Choctaw
Cree / Cri / Kri,{{cr}},Cree
Creek/ Muskogee,{{mus}},Creek
,,
Dänisch,{{da}},Dänisch
Dari,{{prs}},Dari
Dehu,{{dhv}},Dehu
Deitsch,{{pdc}},Pennsylvaniadeutsch
Dendi (Benin),{{ddn}},Dendi
Deutsch,{{de}},Deutsch
"Deutsch, Althoch-",{{goh}},Althochdeutsch
"Deutsch, Mittelhoch-",{{gmh}},Mittelhochdeutsch
Dhivehi/Maledivisch,{{dv}},Maledivisch
Dobu,{{dob}},Dobu
Dogon,{{nic}},Dogon
Dzongkha/Bhutanisch,{{dz}},Dzongkha
,,
Elsässisch (Alemannisch),{{als}},Alemannisch
Emilianisch,{{eml}},Emilianisch
Englisch,{{en}},Englisch
Ersa-Mordwinisch,{{myv}},Ersja
Ersänisch,{{myv}},Ersja
Ersja,{{myv}},Ersja
Eskimoisch/Inuktitut,{{iu}},Inuktitut
